iter	Passed	Remaining
0	91	91123
1	105	52714
2	127	42321
3	142	35519
4	151	30205
5	162	26962
6	178	25315
7	201	24992
8	220	24231
9	222	22000
10	224	20221
11	243	20032
12	253	19214
13	272	19218
14	280	18436
15	291	17940
16	295	17071
17	318	17387
18	329	17026
19	332	16275
20	334	15600
21	342	15227
22	347	14743
23	362	14760
24	365	14263
25	382	14313
26	395	14238
27	398	13827
28	401	13458
29	408	13209
30	418	13079
31	434	13150
32	447	13118
33	456	12975
34	466	12874
35	473	12682
36	476	12394
37	487	12336
38	496	12236
39	511	12272
40	525	12280
41	546	12461
42	563	12542
43	566	12316
44	579	12288
45	587	12182
46	589	11959
47	598	11868
48	611	11873
49	618	11744
50	627	11673
51	638	11636
52	646	11543
53	648	11352
54	653	11223
55	670	11295
56	678	11227
57	686	11146
58	702	11196
59	709	11117
60	722	11118
61	736	11139
62	744	11069
63	748	10939
64	751	10805
65	754	10676
66	763	10635
67	778	10668
68	787	10624
69	791	10509
70	795	10402
71	806	10395
72	827	10512
73	840	10516
74	848	10459
75	857	10427
76	869	10419
77	876	10362
78	887	10351
79	895	10302
80	904	10259
81	916	10265
82	928	10255
83	941	10270
84	963	10370
85	968	10292
86	982	10309
87	984	10200
88	992	10156
89	1002	10140
90	1020	10197
91	1028	10151
92	1033	10083
93	1041	10037
94	1043	9936
95	1044	9838
96	1052	9795
97	1059	9750
98	1071	9747
99	1087	9791
100	1099	9784
101	1112	9795
102	1129	9835
103	1156	9962
104	1160	9894
105	1162	9807
106	1167	9747
107	1171	9672
108	1175	9606
109	1178	9537
110	1194	9564
111	1211	9608
112	1228	9639
113	1240	9641
114	1244	9578
115	1252	9548
116	1260	9515
117	1265	9456
118	1275	9444
119	1284	9419
120	1299	9440
121	1303	9383
122	1305	9308
123	1309	9248
124	1315	9211
125	1324	9188
126	1326	9118
127	1331	9072
128	1340	9052
129	1351	9045
130	1355	8991
131	1364	8971
132	1371	8942
133	1384	8947
134	1393	8926
135	1396	8874
136	1400	8824
137	1413	8829
138	1423	8819
139	1435	8820
140	1446	8810
141	1452	8779
142	1456	8730
143	1459	8678
144	1472	8680
145	1483	8678
146	1489	8645
147	1492	8589
148	1493	8529
149	1500	8504
150	1508	8482
151	1510	8427
152	1514	8386
153	1531	8412
154	1535	8369
155	1543	8348
156	1546	8306
157	1550	8263
158	1564	8276
159	1568	8232
160	1569	8181
161	1574	8146
162	1585	8140
163	1591	8113
164	1600	8099
165	1609	8084
166	1622	8093
167	1632	8084
168	1636	8049
169	1649	8053
170	1657	8034
171	1664	8013
172	1672	7995
173	1687	8009
174	1695	7993
175	1699	7958
176	1701	7913
177	1709	7893
178	1716	7871
179	1726	7866
180	1738	7865
181	1742	7830
182	1745	7792
183	1762	7817
184	1766	7784
185	1769	7742
186	1783	7754
187	1786	7715
188	1799	7722
189	1808	7709
190	1822	7719
191	1830	7702
192	1841	7698
193	1845	7668
194	1849	7635
195	1858	7624
196	1870	7625
197	1878	7606
198	1892	7618
199	1897	7591
200	1909	7591
201	1913	7559
202	1919	7537
203	1922	7500
204	1932	7494
205	1936	7465
206	1946	7457
207	1950	7427
208	1963	7432
209	1973	7422
210	1988	7435
211	2003	7446
212	2008	7420
213	2013	7393
214	2015	7360
215	2026	7356
216	2031	7331
217	2039	7316
218	2056	7332
219	2062	7311
220	2067	7288
221	2071	7257
222	2080	7249
223	2090	7243
224	2099	7229
225	2102	7202
226	2111	7189
227	2124	7192
228	2141	7210
229	2149	7196
230	2157	7183
231	2168	7179
232	2173	7155
233	2186	7156
234	2189	7128
235	2193	7100
236	2196	7072
237	2214	7088
238	2218	7063
239	2220	7030
240	2231	7028
241	2235	7002
242	2239	6977
243	2248	6967
244	2259	6963
245	2267	6948
246	2277	6944
247	2288	6938
248	2295	6924
249	2299	6899
250	2304	6877
251	2306	6847
252	2310	6821
253	2313	6795
254	2317	6770
255	2329	6771
256	2333	6746
257	2346	6748
258	2357	6743
259	2359	6715
260	2363	6691
261	2364	6661
262	2373	6650
263	2377	6627
264	2384	6613
265	2396	6613
266	2400	6591
267	2413	6592
268	2415	6564
269	2418	6538
270	2430	6538
271	2435	6519
272	2447	6518
273	2458	6514
274	2470	6513
275	2494	6543
276	2503	6533
277	2516	6536
278	2524	6524
279	2532	6513
280	2544	6510
281	2556	6509
282	2558	6481
283	2560	6455
284	2568	6444
285	2571	6419
286	2574	6396
287	2586	6394
288	2590	6373
289	2599	6363
290	2618	6379
291	2631	6380
292	2646	6385
293	2659	6386
294	2667	6373
295	2671	6353
296	2678	6340
297	2692	6343
298	2701	6333
299	2708	6318
300	2724	6326
301	2736	6325
302	2744	6312
303	2760	6320
304	2775	6325
305	2779	6304
306	2787	6291
307	2798	6286
308	2805	6273
309	2814	6264
310	2818	6243
311	2825	6229
312	2833	6218
313	2845	6216
314	2854	6207
315	2859	6189
316	2862	6167
317	2865	6145
318	2875	6138
319	2879	6119
320	2890	6115
321	2895	6095
322	2898	6074
323	2900	6050
324	2901	6027
325	2903	6003
326	2908	5984
327	2913	5968
328	2922	5959
329	2925	5940
330	2933	5929
331	2938	5912
332	2941	5892
333	2944	5871
334	2956	5869
335	2970	5869
336	2991	5885
337	3004	5884
338	3020	5889
339	3035	5892
340	3048	5890
341	3050	5869
342	3058	5858
343	3070	5855
344	3080	5849
345	3092	5845
346	3095	5824
347	3102	5812
348	3104	5791
349	3109	5775
350	3111	5753
351	3114	5734
352	3118	5715
353	3126	5705
354	3128	5683
355	3140	5680
356	3143	5661
357	3147	5644
358	3149	5623
359	3151	5602
360	3155	5584
361	3162	5574
362	3171	5565
363	3172	5543
